round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,conv_filter,conv_kernel,conv_activation,dilation_rate,dropout_rate,dense_dim,dense_activation,batch_size,epochs,optimizer,lr
5,0.023516137152910233,0.023516137152910233,0.10475170612335205,0.01451603602617979,0.01451603602617979,0.081458181142807,16,7,relu,4,0.05,64,relu,256,5,adam,0.0001
5,0.021330319344997406,0.021330319344997406,0.09598853439092636,0.011974993161857128,0.011974993161857128,0.06874704360961914,16,7,relu,4,0.05,64,relu,256,5,adam,1e-05
5,0.03186536580324173,0.03186536580324173,0.12690287828445435,0.02322806790471077,0.02322806790471077,0.10914881527423859,16,7,relu,4,0.1,32,relu,256,5,adam,0.001
5,0.027914855629205704,0.027914855629205704,0.11802128702402115,0.020428651943802834,0.020428651943802834,0.10243549942970276,16,7,relu,4,0.1,32,relu,256,5,adam,0.0001
5,0.034213580191135406,0.034213580191135406,0.13373100757598877,0.023672614246606827,0.023672614246606827,0.11113308370113373,16,7,relu,4,0.1,32,relu,256,5,adam,1e-05
5,0.027295399457216263,0.027295399457216263,0.11648315191268921,0.018859658390283585,0.018859658390283585,0.09827721863985062,16,7,relu,4,0.1,64,relu,256,5,adam,0.001
5,0.028513723984360695,0.028513723984360695,0.11950185149908066,0.018784310668706894,0.018784310668706894,0.09773086756467819,16,7,relu,4,0.1,64,relu,256,5,adam,0.0001
5,0.018648065626621246,0.018648065626621246,0.08870305866003036,0.01005403883755207,0.01005403883755207,0.06414740532636642,16,7,relu,4,0.1,64,relu,256,5,adam,1e-05
5,0.037144735455513,0.037144735455513,0.1413848102092743,0.027961844578385353,0.027961844578385353,0.12460000067949295,16,7,relu,8,0.0,32,relu,256,5,adam,0.001
5,0.03538118302822113,0.03538118302822113,0.13589376211166382,0.0245501846075058,0.0245501846075058,0.11343442648649216,16,7,relu,8,0.0,32,relu,256,5,adam,0.0001
5,0.031853802502155304,0.031853802502155304,0.12664227187633514,0.021643877029418945,0.021643877029418945,0.10384128242731094,16,7,relu,8,0.0,32,relu,256,5,adam,1e-05
5,0.040889181196689606,0.040889181196689606,0.14952950179576874,0.031044436618685722,0.031044436618685722,0.13238653540611267,16,7,relu,8,0.0,64,relu,256,5,adam,0.001
5,0.051020409911870956,0.051020409911870956,0.1685706079006195,0.041784387081861496,0.041784387081861496,0.15444253385066986,16,7,relu,8,0.0,64,relu,256,5,adam,0.0001
5,0.021241093054413795,0.021241093054413795,0.09676884114742279,0.012847861275076866,0.012847861275076866,0.07310827076435089,16,7,relu,8,0.0,64,relu,256,5,adam,1e-05
5,0.015376207418739796,0.015376207418739796,0.08019445091485977,0.009444259107112885,0.009444259107112885,0.0641338974237442,16,7,relu,8,0.05,32,relu,256,5,adam,0.001
5,0.03945595398545265,0.03945595398545265,0.14608687162399292,0.0319591648876667,0.0319591648876667,0.13335172832012177,16,7,relu,8,0.05,32,relu,256,5,adam,0.0001
5,0.05090729519724846,0.05090729519724846,0.17034763097763062,0.042359061539173126,0.042359061539173126,0.1583465188741684,16,7,relu,8,0.05,32,relu,256,5,adam,1e-05
5,0.03872840851545334,0.03872840851545334,0.14545483887195587,0.027404652908444405,0.027404652908444405,0.12528181076049805,16,7,relu,8,0.05,64,relu,256,5,adam,0.001
5,0.0300799198448658,0.0300799198448658,0.12372806668281555,0.020811013877391815,0.020811013877391815,0.10413755476474762,16,7,relu,8,0.05,64,relu,256,5,adam,0.0001
5,0.05434222146868706,0.05434222146868706,0.17623646557331085,0.04600609838962555,0.04600609838962555,0.1654784232378006,16,7,relu,8,0.05,64,relu,256,5,adam,1e-05
5,0.0398770309984684,0.0398770309984684,0.14675265550613403,0.030282778665423393,0.030282778665423393,0.12963497638702393,16,7,relu,8,0.1,32,relu,256,5,adam,0.001
5,0.029331540688872337,0.029331540688872337,0.12021966278553009,0.01862233504652977,0.01862233504652977,0.09666460007429123,16,7,relu,8,0.1,32,relu,256,5,adam,0.0001
5,0.02582220360636711,0.02582220360636711,0.1130816787481308,0.018207557499408722,0.018207557499408722,0.09549955278635025,16,7,relu,8,0.1,32,relu,256,5,adam,1e-05
5,0.05202888324856758,0.05202888324856758,0.17200453579425812,0.042658571153879166,0.042658571153879166,0.15874965488910675,16,7,relu,8,0.1,64,relu,256,5,adam,0.001
