,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_feed_forward,params_hidden_size,params_input_chunk_length,params_lr,params_lstm_layers,params_n_epochs,params_num_attention_heads,params_optimizer,params_output_chunk_length,system_attrs_grid_id,system_attrs_search_space,state
30,30,0.05547165498137474,2022-08-11 21:11:42.473918,2022-08-11 21:16:08.689948,0 days 00:04:26.216030,256,0.05,GatedResidualNetwork,16,30,0.001,4,1000,5,adam,1,237,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
31,31,0.05053074285387993,2022-08-11 21:16:08.690787,2022-08-11 21:29:30.079670,0 days 00:13:21.388883,256,0.0,GatedResidualNetwork,32,30,0.001,1,1000,5,adam,1,81,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
32,32,0.02613234706223011,2022-08-11 21:29:30.080508,2022-08-11 21:34:48.099718,0 days 00:05:18.019210,256,0.1,GatedResidualNetwork,32,30,1e-05,1,1000,7,adam,1,435,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
33,33,0.06330416351556778,2022-08-11 21:34:48.100553,2022-08-11 21:43:05.553151,0 days 00:08:17.452598,256,0.0,GatedResidualNetwork,16,30,0.001,1,1000,7,adam,1,35,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
34,34,0.22124537825584412,2022-08-11 21:43:05.553984,2022-08-11 21:50:33.264616,0 days 00:07:27.710632,256,0.05,GatedResidualNetwork,128,30,1e-05,3,1000,6,adam,1,346,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
35,35,0.053685009479522705,2022-08-11 21:50:33.265456,2022-08-11 21:58:21.446000,0 days 00:07:48.180544,256,0.0,GatedResidualNetwork,32,30,0.0001,3,1000,6,adam,1,74,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
36,36,0.044793594628572464,2022-08-11 21:58:21.446836,2022-08-11 22:02:19.146995,0 days 00:03:57.700159,256,0.05,GatedResidualNetwork,32,30,0.001,4,1000,5,adam,1,285,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
37,37,0.04133639484643936,2022-08-11 22:02:19.147836,2022-08-11 22:10:02.947789,0 days 00:07:43.799953,256,0.0,GatedResidualNetwork,64,30,1e-05,1,1000,6,adam,1,98,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
38,38,0.2791857421398163,2022-08-11 22:10:02.948636,2022-08-11 22:16:53.316009,0 days 00:06:50.367373,256,0.0,GatedResidualNetwork,32,30,1e-05,4,1000,6,adam,1,62,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
39,39,0.03898501768708229,2022-08-11 22:16:53.316850,2022-08-11 22:28:19.734290,0 days 00:11:26.417440,256,0.0,GatedResidualNetwork,16,30,0.001,2,1000,5,adam,1,37,"OrderedDict([('batch_size', [256]), ('dropout', [0.0, 0.05, 0.1]), ('feed_forward', ['GatedResidualNetwork']), ('hidden_size', [16, 32, 64, 128]), ('input_chunk_length', [30]), ('lr', [1e-05, 0.0001, 0.001]), ('lstm_layers', [1, 2, 3, 4]), ('n_epochs', [1000]), ('num_attention_heads', [4, 5, 6, 7]), ('optimizer', ['adam']), ('output_chunk_length', [1])])",COMPLETE
