,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_epochs,params_hidden_size,params_input_chunk_length,params_learning_rate,params_lstm_layers,params_num_attentions_heads,params_optimizer,params_output_chunk_length,state
54,54,0.009549112990498543,2022-07-14 21:23:38.768691,2022-07-14 21:28:55.338950,0 days 00:05:16.570259,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
55,55,0.03369954600930214,2022-07-14 21:28:55.339720,2022-07-14 21:32:26.816684,0 days 00:03:31.476964,256,0.0,1000,128,30,1e-05,2,2,adam,1,COMPLETE
56,56,0.1336008608341217,2022-07-14 21:32:26.817485,2022-07-14 21:35:11.203826,0 days 00:02:44.386341,256,0.0,1000,128,30,0.0001,5,3,adam,1,COMPLETE
57,57,0.009549031965434551,2022-07-14 21:35:11.204610,2022-07-14 21:40:28.739963,0 days 00:05:17.535353,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
58,58,0.04823385551571846,2022-07-14 21:40:28.740738,2022-07-14 21:49:47.534897,0 days 00:09:18.794159,256,0.1,1000,64,30,1e-05,5,3,adam,1,COMPLETE
59,59,0.11715131998062134,2022-07-14 21:49:47.535659,2022-07-14 21:52:15.464353,0 days 00:02:27.928694,256,0.0,1000,32,30,0.001,5,7,adam,1,COMPLETE
60,60,0.038773540407419205,2022-07-14 21:52:15.465116,2022-07-14 21:58:32.675841,0 days 00:06:17.210725,256,0.0,1000,128,30,1e-05,4,3,adam,1,COMPLETE
61,61,0.009549050591886044,2022-07-14 21:58:32.676618,2022-07-14 22:03:49.949472,0 days 00:05:17.272854,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
62,62,0.009548991918563843,2022-07-14 22:03:49.950243,2022-07-14 22:09:08.156558,0 days 00:05:18.206315,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
63,63,0.00954904593527317,2022-07-14 22:09:08.157327,2022-07-14 22:14:24.047769,0 days 00:05:15.890442,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
64,64,0.00954904779791832,2022-07-14 22:14:24.048539,2022-07-14 22:19:41.532700,0 days 00:05:17.484161,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
65,65,0.009549050591886044,2022-07-14 22:19:41.533483,2022-07-14 22:24:58.396493,0 days 00:05:16.863010,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
66,66,0.026788009330630302,2022-07-14 22:24:58.397268,2022-07-14 22:30:26.633892,0 days 00:05:28.236624,256,0.0,1000,128,30,1e-05,5,5,adam,1,COMPLETE
67,67,0.05635419115424156,2022-07-14 22:30:26.634667,2022-07-14 22:34:16.646743,0 days 00:03:50.012076,256,0.0,1000,128,30,1e-05,2,3,adam,1,COMPLETE
68,68,0.07380319386720657,2022-07-14 22:34:16.647558,2022-07-14 22:38:49.655494,0 days 00:04:33.007936,256,0.1,1000,128,30,0.0001,3,2,adam,1,COMPLETE
69,69,0.009549028240144253,2022-07-14 22:38:49.656279,2022-07-14 22:44:05.688680,0 days 00:05:16.032401,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
70,70,0.0283034835010767,2022-07-14 22:44:05.689447,2022-07-14 22:49:20.011448,0 days 00:05:14.322001,256,0.0,1000,64,30,1e-05,5,3,adam,1,COMPLETE
71,71,0.00954904593527317,2022-07-14 22:49:20.012230,2022-07-14 22:54:36.960886,0 days 00:05:16.948656,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
72,72,0.009549050591886044,2022-07-14 22:54:36.961656,2022-07-14 22:59:53.829117,0 days 00:05:16.867461,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
73,73,0.00954904593527317,2022-07-14 22:59:53.829896,2022-07-14 23:05:11.540563,0 days 00:05:17.710667,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
74,74,0.009548991918563843,2022-07-14 23:05:11.541346,2022-07-14 23:10:28.141527,0 days 00:05:16.600181,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
75,75,0.03775667026638985,2022-07-14 23:10:28.142306,2022-07-14 23:22:00.489983,0 days 00:11:32.347677,256,0.05,1000,128,30,0.001,5,3,adam,1,COMPLETE
76,76,0.009549050591886044,2022-07-14 23:22:00.490753,2022-07-14 23:27:16.168162,0 days 00:05:15.677409,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
77,77,0.045799389481544495,2022-07-14 23:27:16.168936,2022-07-14 23:29:18.629831,0 days 00:02:02.460895,256,0.0,1000,32,30,1e-05,5,3,adam,1,COMPLETE
78,78,0.0095490338280797,2022-07-14 23:29:18.630607,2022-07-14 23:34:36.315151,0 days 00:05:17.684544,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
79,79,0.03328786790370941,2022-07-14 23:34:36.315937,2022-07-14 23:38:13.592275,0 days 00:03:37.276338,256,0.0,1000,128,30,1e-05,2,7,adam,1,COMPLETE
80,80,0.019557137042284012,2022-07-14 23:38:13.593069,2022-07-14 23:44:16.705750,0 days 00:06:03.112681,256,0.0,1000,128,30,1e-05,4,5,adam,1,COMPLETE
81,81,0.00954904593527317,2022-07-14 23:44:16.706537,2022-07-14 23:49:32.356112,0 days 00:05:15.649575,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
82,82,0.009549050591886044,2022-07-14 23:49:32.356918,2022-07-14 23:54:48.207786,0 days 00:05:15.850868,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
83,83,0.00954904593527317,2022-07-14 23:54:48.208582,2022-07-15 00:00:04.920901,0 days 00:05:16.712319,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
84,84,0.00954902172088623,2022-07-15 00:00:04.921692,2022-07-15 00:05:20.542431,0 days 00:05:15.620739,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
85,85,0.009549050591886044,2022-07-15 00:05:20.543208,2022-07-15 00:10:37.646242,0 days 00:05:17.103034,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
86,86,0.042006999254226685,2022-07-15 00:10:37.647017,2022-07-15 00:15:00.447212,0 days 00:04:22.800195,256,0.0,1000,128,30,0.0001,3,3,adam,1,COMPLETE
87,87,0.14111804962158203,2022-07-15 00:15:00.447994,2022-07-15 00:17:30.188746,0 days 00:02:29.740752,256,0.1,1000,128,30,1e-05,5,2,adam,1,COMPLETE
88,88,0.018468663096427917,2022-07-15 00:17:30.189572,2022-07-15 00:22:27.598890,0 days 00:04:57.409318,256,0.05,1000,128,30,0.001,5,3,adam,1,COMPLETE
89,89,0.0283034835010767,2022-07-15 00:22:27.599670,2022-07-15 00:27:41.050583,0 days 00:05:13.450913,256,0.0,1000,64,30,1e-05,5,3,adam,1,COMPLETE
90,90,0.045799389481544495,2022-07-15 00:27:41.051361,2022-07-15 00:29:43.386942,0 days 00:02:02.335581,256,0.0,1000,32,30,1e-05,5,3,adam,1,COMPLETE
91,91,0.009549038484692574,2022-07-15 00:29:43.387717,2022-07-15 00:34:59.587767,0 days 00:05:16.200050,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
92,92,0.009549050591886044,2022-07-15 00:34:59.588549,2022-07-15 00:40:16.103721,0 days 00:05:16.515172,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
93,93,0.00954904593527317,2022-07-15 00:40:16.104515,2022-07-15 00:45:31.718569,0 days 00:05:15.614054,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
94,94,0.009548991918563843,2022-07-15 00:45:31.719342,2022-07-15 00:50:47.406890,0 days 00:05:15.687548,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
95,95,0.00954904593527317,2022-07-15 00:50:47.407668,2022-07-15 00:56:04.038520,0 days 00:05:16.630852,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
96,96,0.009549050591886044,2022-07-15 00:56:04.039299,2022-07-15 01:01:18.592136,0 days 00:05:14.552837,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
97,97,0.07862355560064316,2022-07-15 01:01:18.592924,2022-07-15 01:03:38.277521,0 days 00:02:19.684597,256,0.0,1000,128,30,1e-05,5,7,adam,1,COMPLETE
98,98,0.0095490338280797,2022-07-15 01:03:38.278316,2022-07-15 01:08:55.583394,0 days 00:05:17.305078,256,0.0,1000,128,30,1e-05,5,3,adam,1,COMPLETE
99,99,0.038773566484451294,2022-07-15 01:08:55.584193,2022-07-15 01:15:10.341475,0 days 00:06:14.757282,256,0.0,1000,128,30,1e-05,4,3,adam,1,COMPLETE
