round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,first_conv_dim,first_conv_kernel,first_conv_activation,first_lstm_dim,first_dense_dim,first_dense_activation,batch_size,epochs,patience,optimizer,lr
5,0.049421459436416626,0.049421459436416626,0.16846121847629547,0.04373118653893471,0.04373118653893471,0.15850141644477844,32,5,tanh,50,64,relu,256,5,50,adam,0.0001
5,0.04321349784731865,0.04321349784731865,0.15604005753993988,0.03768125921487808,0.03768125921487808,0.14548875391483307,32,5,tanh,50,64,relu,256,5,50,adam,1e-05
5,0.06450723111629486,0.06450723111629486,0.19197390973567963,0.05721229314804077,0.05721229314804077,0.18065014481544495,32,5,tanh,50,64,tanh,256,5,50,adam,0.001
5,0.07258898764848709,0.07258898764848709,0.20324499905109406,0.0635170117020607,0.0635170117020607,0.1894257813692093,32,5,tanh,50,64,tanh,256,5,50,adam,0.0001
5,0.03691389411687851,0.03691389411687851,0.14224451780319214,0.031318873167037964,0.031318873167037964,0.1303778737783432,32,5,tanh,50,64,tanh,256,5,50,adam,1e-05
5,0.04250548034906387,0.04250548034906387,0.1546877771615982,0.0370749831199646,0.0370749831199646,0.14438745379447937,32,5,tanh,75,16,relu,256,5,50,adam,0.001
5,0.059755947440862656,0.059755947440862656,0.18474967777729034,0.05261813476681709,0.05261813476681709,0.1732940673828125,32,5,tanh,75,16,relu,256,5,50,adam,0.0001
5,0.054394155740737915,0.054394155740737915,0.17279638350009918,0.04667208343744278,0.04667208343744278,0.15891064703464508,32,5,tanh,75,16,relu,256,5,50,adam,1e-05
5,0.033159829676151276,0.033159829676151276,0.134409561753273,0.028286244720220566,0.028286244720220566,0.12367971986532211,32,5,tanh,75,16,tanh,256,5,50,adam,0.001
5,0.052180215716362,0.052180215716362,0.17107996344566345,0.04542214050889015,0.04542214050889015,0.1587994545698166,32,5,tanh,75,16,tanh,256,5,50,adam,0.0001
