,avgcpu,std,labels
346,[0.09977961],[0.73667634],[0.58576264]
347,[0.09847543],[0.73412836],[0.69960922]
348,[0.11001204],[0.7276049],[0.62829874]
349,[0.10361171],[0.7279859],[0.24260733]
350,[0.09802054],[0.7330062],[0.09577629]
351,[0.09090571],[0.7412219],[0.25979768]
352,[0.09506173],[0.7416359],[0.13124743]
353,[0.09449847],[0.73884165],[-0.1095545]
354,[0.08528446],[0.7390387],[-0.07293261]
355,[0.07732368],[0.74114376],[-0.20477823]
356,[0.07631919],[0.7428473],[-0.28255329]
357,[0.0670191],[0.74419343],[0.04007579]
358,[0.0674585],[0.73350257],[0.07221952]
359,[0.06115147],[0.7263178],[0.0874191]
360,[0.07600689],[0.71029574],[0.18262884]
361,[0.08186384],[0.70083386],[-0.02993016]
362,[0.07908383],[0.704156],[0.39275624]
363,[0.0938351],[0.69867176],[0.30773548]
364,[0.08783032],[0.6998237],[0.25596366]
365,[0.10216877],[0.6922524],[0.34799526]
366,[0.09735781],[0.6933073],[0.77870929]
367,[0.10341874],[0.6927198],[0.87363358]
368,[0.10848005],[0.6863777],[0.74878727]
369,[0.11961029],[0.67489284],[0.62838567]
370,[0.11416201],[0.677691],[0.42095039]
371,[0.10507649],[0.6919573],[0.65228339]
372,[0.11022875],[0.6984916],[0.68773843]
373,[0.11006932],[0.70107245],[0.56672571]
374,[0.11228722],[0.7004134],[0.7731006]
375,[0.11126556],[0.7020999],[0.68155215]
376,[0.10829389],[0.7041179],[0.71137124]
377,[0.11252549],[0.7042425],[0.84282982]
378,[0.11120632],[0.70611],[0.77505536]
379,[0.11270407],[0.7062229],[0.81769205]
380,[0.11463466],[0.7071562],[0.92614647]
381,[0.11421759],[0.7086596],[0.77122025]
382,[0.11339623],[0.7104838],[0.87863152]
383,[0.11504376],[0.7128931],[0.87130454]
384,[0.11114633],[0.7164214],[1.00220603]
385,[0.11779287],[0.71426475],[0.98590827]
386,[0.11727233],[0.7136153],[0.99691031]
387,[0.11905661],[0.7135851],[0.95697469]
388,[0.11528219],[0.7173879],[1.08999155]
389,[0.11747272],[0.71844256],[1.17009659]
390,[0.11935955],[0.7170398],[0.90299343]
391,[0.11724892],[0.7191724],[0.80561104]
392,[0.11172065],[0.7275838],[0.72301798]
393,[0.10502656],[0.7373154],[0.22344811]
394,[0.10073248],[0.7460888],[-0.61099244]
395,[0.07516454],[0.76992136],[-1.13984545]
396,[0.04030488],[0.8018778],[-1.36444876]
397,[0.03684549],[0.8260887],[-1.31491379]
398,[0.02215808],[0.82410455],[-1.37482691]
399,[-0.00013037],[0.80319947],[-0.94224306]
400,[-0.01053258],[0.7641419],[-0.89415564]
401,[-0.0039481],[0.7389301],[-0.77958702]
402,[0.01634612],[0.7147233],[-0.31869429]
403,[0.03686452],[0.6940406],[-0.27132922]
404,[0.04742789],[0.686775],[0.1666422]
405,[0.0702309],[0.66733676],[-0.17225392]
406,[0.07550338],[0.67078966],[0.15488749]
407,[0.08418065],[0.66661584],[0.68958368]
408,[0.08227277],[0.6758653],[0.00602076]
409,[0.08281985],[0.6781331],[-0.08566683]
410,[0.07801248],[0.6838711],[0.14665168]
411,[0.08025339],[0.69399893],[0.28983286]
412,[0.08275582],[0.6955202],[0.26497554]
413,[0.08623786],[0.6915315],[-0.04680322]
414,[0.07743718],[0.6992705],[0.26390585]
415,[0.07890981],[0.6977691],[-0.28154825]
416,[0.07572056],[0.7109085],[-0.08750327]
417,[0.07107113],[0.71412194],[-0.23359585]
418,[0.07965593],[0.72133917],[-0.26975226]
419,[0.06852484],[0.72545177],[-0.22504556]
420,[0.06496616],[0.72067356],[-0.59511839]
421,[0.0583284],[0.72815377],[-0.48943161]
422,[0.05791199],[0.7245804],[-0.12707944]
423,[0.06303713],[0.7212333],[-0.48948005]
424,[0.06340037],[0.7194259],[0.23218046]
425,[0.09001298],[0.68999875],[-0.47583364]
426,[0.08515148],[0.7011324],[-0.71406812]
427,[0.07503623],[0.70681137],[-0.43885359]
428,[0.06787111],[0.7179576],[0.21353418]
429,[0.06822298],[0.7208801],[0.97871275]
430,[0.09112769],[0.69493955],[0.75358742]
431,[0.11972125],[0.6679331],[1.78833127]
432,[0.14367862],[0.6358507],[1.59431371]
433,[0.14361663],[0.6384797],[1.49839867]
434,[0.14842962],[0.62552863],[1.50264714]
435,[0.12503712],[0.64645565],[0.99237661]
436,[0.11683287],[0.67449343],[0.67469478]
437,[0.11493456],[0.69763774],[0.3675833]
438,[0.10638368],[0.72150356],[-0.27666354]
439,[0.09896423],[0.7394441],[-1.19846999]
440,[0.06191271],[0.77700466],[-0.25203017]
441,[0.06306756],[0.7795365],[-0.34322935]
442,[0.04654209],[0.7798213],[-1.02769989]
443,[0.04036885],[0.7589831],[-1.66284308]
444,[0.00808631],[0.7587425],[-0.92705837]
445,[0.01429897],[0.75297153],[-0.22280018]
446,[0.01227797],[0.7527664],[-0.54136693]
447,[0.04122576],[0.71649444],[-0.42219278]
448,[0.079319],[0.6779474],[-0.30236478]
449,[0.07921407],[0.68095624],[-0.46330535]
450,[0.06360896],[0.6942045],[-1.06998676]
451,[0.04648545],[0.7116774],[-0.98526]
452,[0.03119801],[0.72536093],[-0.57269522]
453,[0.02772136],[0.7323019],[-0.75214819]
454,[0.02257311],[0.7318547],[-0.94119364]
455,[0.03381727],[0.71701247],[-0.89376908]
456,[0.0343863],[0.71640193],[-0.51666698]
457,[0.02886584],[0.7182995],[-0.54795152]
458,[0.03051944],[0.714547],[-0.24802977]
459,[0.04637444],[0.6965314],[-0.28213637]
460,[0.05605621],[0.69103813],[-0.32908771]
461,[0.05831396],[0.6904181],[-0.84917818]
462,[0.04644453],[0.7076405],[-0.66109982]
463,[0.03554099],[0.7180516],[0.18884807]
464,[0.04121284],[0.71775764],[0.04962401]
465,[0.04960617],[0.71075076],[0.26738292]
466,[0.0867516],[0.67509335],[-0.01956756]
467,[0.0868458],[0.68404126],[0.00739131]
468,[0.07671227],[0.692699],[-0.66167867]
469,[0.05051687],[0.7210514],[-0.49856469]
470,[0.03396549],[0.7353278],[-0.68411458]
471,[0.03938412],[0.7388359],[-1.08162232]
472,[0.02211605],[0.75061893],[-0.81755102]
473,[0.02950056],[0.7393147],[0.19939203]
474,[0.04106742],[0.7261016],[-0.0320807]
475,[0.05902873],[0.7081565],[0.50346859]
476,[0.10956517],[0.65873843],[0.35958594]
477,[0.11324349],[0.66471165],[0.75817953]
478,[0.12062411],[0.65520966],[0.65918484]
479,[0.11025088],[0.6646567],[0.07503652]
480,[0.09451424],[0.6746604],[-0.12031537]
481,[0.07079718],[0.6960798],[-0.07648234]
482,[0.07227121],[0.7074654],[-0.08927083]
483,[0.0699141],[0.71541953],[0.08716677]
484,[0.06390338],[0.71680856],[-0.01879556]
485,[0.06393932],[0.7151283],[-0.14820527]
486,[0.06381977],[0.71437216],[-0.60751755]
487,[0.04928454],[0.730895],[-0.53922781]
488,[0.04295507],[0.7379343],[-0.21950325]
489,[0.05119374],[0.73431724],[0.21660612]
490,[0.0575265],[0.7243671],[0.24320366]
491,[0.08196589],[0.69955045],[0.14421537]
492,[0.0999659],[0.68377244],[-0.0008933]
493,[0.09344222],[0.6912957],[-0.27326685]
494,[0.07780159],[0.7056019],[-0.74110217]
495,[0.05488643],[0.72768265],[-0.20591798]
496,[0.06147529],[0.72403663],[-0.75362595]
497,[0.05374048],[0.7347868],[-0.62442253]
498,[0.06013989],[0.72186697],[-0.92331254]
499,[0.05440445],[0.7300451],[-0.66281893]
500,[0.04983101],[0.7270369],[0.08661503]
501,[0.06193022],[0.71053874],[-0.21136549]
502,[0.07345487],[0.6986603],[-0.63433305]
503,[0.09228079],[0.6816774],[-0.27833542]
504,[0.09079929],[0.6857953],[-0.70912407]
505,[0.07773897],[0.7035302],[-0.92379768]
506,[0.06070576],[0.71349967],[-0.36853621]
507,[0.06132204],[0.7110475],[0.1584392]
508,[0.05922298],[0.71169823],[0.00179593]
509,[0.08285384],[0.6876469],[-0.51504831]
510,[0.09964919],[0.6761649],[-0.25846131]
511,[0.0897081],[0.68744797],[0.24710436]
512,[0.08724222],[0.6968475],[0.44692574]
513,[0.0891629],[0.69462335],[0.11407715]
514,[0.10373695],[0.6811709],[-0.05973766]
515,[0.09311219],[0.6903062],[-0.31521705]
516,[0.07630546],[0.70851064],[0.25947754]
517,[0.07947195],[0.7076923],[-0.32494632]
518,[0.06991933],[0.7188152],[-0.88384777]
519,[0.05192725],[0.73258257],[-0.22996711]
520,[0.05544293],[0.73101336],[-0.16012089]
521,[0.05080126],[0.7396065],[-0.21033817]
522,[0.07613184],[0.71196836],[0.17415516]
523,[0.09750699],[0.6882799],[0.17247628]
524,[0.09750891],[0.6889278],[0.59367445]
525,[0.10943143],[0.6743808],[1.2782792]
526,[0.11354175],[0.66833735],[1.62867513]
527,[0.12554872],[0.6545248],[1.52896301]
528,[0.14100091],[0.6370316],[1.28185097]
529,[0.13589856],[0.6368858],[1.2541401]
530,[0.12368961],[0.66203],[1.6500808]
531,[0.12665838],[0.67759657],[1.34560223]
532,[0.12660241],[0.6850682],[1.03248844]
533,[0.12613282],[0.69694036],[0.96576748]
534,[0.10941598],[0.71885055],[1.22080226]
535,[0.1126647],[0.7272073],[1.13816094]
536,[0.11241896],[0.7279696],[1.0758765]
537,[0.11545594],[0.7272845],[0.91651343]
538,[0.10333401],[0.73646283],[0.98921933]
539,[0.10211425],[0.7415653],[1.28240356]
540,[0.10544688],[0.7393592],[0.89907776]
541,[0.10527454],[0.7363343],[1.0761704]
542,[0.1116505],[0.7358573],[1.15249407]
543,[0.10186024],[0.7403198],[1.2449745]
544,[0.11243518],[0.73385096],[1.73263217]
545,[0.1197263],[0.7253698],[1.34473268]
546,[0.118673],[0.7191399],[1.87610631]
547,[0.13675293],[0.7128058],[0.75813745]
548,[0.10539295],[0.7322989],[0.96261571]
549,[0.12781033],[0.738739],[0.93672434]
550,[0.10452926],[0.75768834],[0.72151101]
551,[0.11189236],[0.7527692],[0.70057467]
