round_epochs,loss,mse,mae,val_loss,val_mse,val_mae,lstm_dim_1,lstm_activation,dropout_rate_1,lstm_dim_2,dense_dim_1,dense_activation,gru_dim,gru_activation,dropout_rate_2,dense_dim_2,epochs,patience,batch_size,optimizer,lr
570,0.00023458735086023808,0.00023458735086023808,0.008123294450342655,0.00023189080820884556,0.00023189080820884556,0.007002529222518206,50,relu,0.05,50,64,relu,50,relu,0.0,64,200,20,256,adam,0.0001
579,0.00025371782248839736,0.00025371782248839736,0.00804383959621191,0.00024551054229959846,0.00024551054229959846,0.007003335747867823,50,relu,0.05,50,32,relu,75,relu,0.05,32,200,20,256,adam,0.001
455,0.00025935261510312557,0.00025935261510312557,0.008890730328857899,0.00023425249673891813,0.00023425249673891813,0.008302085101604462,50,relu,0.05,50,64,relu,75,relu,0.0,32,200,20,256,adam,1e-05
532,0.000258354761172086,0.000258354761172086,0.008971123024821281,0.00023882713867351413,0.00023882713867351413,0.00766747584566474,50,relu,0.05,50,32,relu,50,relu,0.05,64,200,20,256,adam,0.0001
584,0.0002216078864876181,0.0002216078864876181,0.007915964350104332,0.00024493594537489116,0.00024493594537489116,0.006987975910305977,75,relu,0.1,75,64,relu,75,relu,0.1,64,200,20,256,adam,0.001
637,0.00022629379236605018,0.00022629379236605018,0.008192772977054119,0.00023775137378834188,0.00023775137378834188,0.0073831635527312756,50,relu,0.1,50,64,relu,75,relu,0.05,32,200,20,256,adam,1e-05
486,0.00022949767298996449,0.00022949767298996449,0.008159223943948746,0.0002563440357334912,0.0002563440357334912,0.00747684808447957,75,relu,0.05,50,64,relu,50,relu,0.05,32,200,20,256,adam,0.001
464,0.00024725927505642176,0.00024725927505642176,0.008096855133771896,0.0002552795922383666,0.0002552795922383666,0.007222802843898535,50,relu,0.1,75,64,relu,50,relu,0.05,32,200,20,256,adam,0.001
598,0.00025358799030072987,0.00025358799030072987,0.008361682295799255,0.00025705600273795426,0.00025705600273795426,0.007942226715385914,75,relu,0.05,50,32,relu,75,relu,0.0,64,200,20,256,adam,0.001
583,0.00023192731896415353,0.00023192731896415353,0.008281766436994076,0.00023626911570318043,0.00023626911570318043,0.007191197946667671,50,relu,0.05,50,64,relu,50,relu,0.05,32,200,20,256,adam,0.001
